date,close,open,high,low,volume,pct_change,daily_return,cumulative_return,drawdown,ma20,ma50,ma200
2018-09-25,454.5,446.2,454.5,446.0,16059.999999999998,0.0187999999999999,0.0188298587760591,-0.0550935550935549,-0.115758754863813,453.92,461.579,
2018-09-26,460.0,447.25,460.0,447.25,34480.0,0.0121,0.012101210121012,-0.0436590436590436,-0.1050583657587548,453.42,461.439,
2018-09-27,452.0,452.0,459.0,452.0,26270.0,-0.0174,-0.017391304347826,-0.0602910602910602,-0.1206225680933851,452.57,461.079,
2018-09-28,450.0,452.0,452.0,446.05,106150.0,-0.0044,-0.0044247787610619,-0.0644490644490644,-0.1245136186770426,451.42,460.838,
2018-10-01,447.05,447.05,448.0,447.05,8890.0,-0.0066,-0.0065555555555555,-0.0705821205821205,-0.1302529182879376,450.6225,460.54,
2018-10-02,446.6,447.05,447.05,446.5,15510.0,-0.001,-0.0010065988144503,-0.0715176715176715,-0.1311284046692606,449.8525,460.273,
2018-10-03,446.1,446.0,446.1,446.0,23920.0,-0.0011,-0.0011195700850873,-0.0725571725571725,-0.132101167315175,449.1575,460.075,
2018-10-04,445.1,445.05,449.9,445.0,1870.0,-0.0022,-0.0022416498542927,-0.0746361746361746,-0.1340466926070038,448.6700000000001,459.917,
2018-10-05,444.0,446.0,446.0,444.0,8000.0,-0.0025,-0.0024713547517412,-0.0769230769230769,-0.1361867704280155,448.2700000000001,459.876,
2018-10-08,443.1,445.0,445.0,440.0,1810.0,-0.002,-0.0020270270270269,-0.0787941787941788,-0.1379377431906614,448.025,459.698,
2018-10-09,449.0,443.1,449.0,443.0,21610.0,0.0133,0.0133152787181223,-0.0665280665280665,-0.1264591439688716,448.4674999999999,459.478,
2018-10-10,443.0,449.0,449.0,443.0,4100.0,-0.0134,-0.0133630289532293,-0.079002079002079,-0.1381322957198443,448.4625,459.058,
2018-10-11,441.0,441.0,441.0,441.0,1780.0,-0.0045,-0.0045146726862302,-0.0831600831600831,-0.1420233463035018,448.0125,458.574,
2018-10-12,441.0,445.0,445.0,441.0,23990.0,0.0,0.0,-0.0831600831600831,-0.1420233463035018,447.6625,458.015,
